pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1070001","2017","Arsenic","Amboy","Blue Earth","Amboy","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","534","27013"
"1070002","2017","Arsenic","Eagle Lake","Blue Earth","Eagle Lake","Groundwater","3.74 ug/L","3.74 ug/L","2520","27013"
"1070005","2017","Arsenic","Good Thunder","Blue Earth","Good Thunder","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","583","27013"
"1070006","2017","Arsenic","Lake Crystal","Blue Earth","Lake Crystal","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","2554","27013"
"1070007","2017","Arsenic","Madison Lake","Blue Earth","Madison Lake","Groundwater","3.48 ug/L","3.48 ug/L","1017","27013"
"1070009","2017","Arsenic","Mankato","Blue Earth","Mankato","Groundwater Under Influence","4.77 ug/L","4.77 ug/L","42803","27013"
"1070012","2017","Arsenic","Hillcrest Health Care Center","Blue Earth","Mankato","Groundwater","1.56 ug/L","1.56 ug/L","94","27013"
"1070016","2017","Arsenic","Rapidan Development Company, Inc.","Blue Earth","Mankato","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","164","27013"
"1070021","2017","Arsenic","Stony Creek Well Association","Blue Earth","Mankato","Groundwater","6.2767 ug/L","7.31 ug/L","51","27013"
"1070022","2017","Arsenic","Riverbend Estates","Blue Earth","Mankato","Groundwater","1.52 ug/L","1.52 ug/L","60","27013"
"1070024","2017","Arsenic","School Sisters of Notre Dame","Blue Earth","Mankato","Groundwater","4.65 ug/L","4.65 ug/L","165","27013"
"1070025","2017","Arsenic","Terrace View East Condominium Assoc.","Blue Earth","Mankato","Groundwater","1.64 ug/L","1.64 ug/L","25","27013"
"1070026","2017","Arsenic","South Bend Township","Blue Earth","Mankato","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","325","27013"
"1070013","2017","Arsenic","Mapleton","Blue Earth","Mapleton","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1756","27013"
"1070015","2017","Arsenic","Pemberton","Blue Earth","Pemberton","Groundwater","3.75 ug/L","3.75 ug/L","247","27013"
"1070018","2017","Arsenic","Skyline","Blue Earth","Skyline","Groundwater","1.85 ug/L","1.85 ug/L","289","27013"
"1070017","2017","Arsenic","Saint Clair","Blue Earth","St. Clair","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","875","27013"
"1070019","2017","Arsenic","Vernon Center","Blue Earth","Vernon Center","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","332","27013"
"1080010","2017","Arsenic","Cobden","Brown","Cobden","Groundwater","1.53 ug/L","1.53 ug/L","36","27015"
"1080001","2017","Arsenic","Comfrey","Brown","Comfrey","Groundwater","10.0 ug/L","10.0 ug/L","402","27015"
"1080009","2017","Arsenic","Evan","Brown","Evan","Purchased Groundwater","1.67 ug/L","1.67 ug/L","86","27015"
"1080002","2017","Arsenic","Hanska","Brown","Hanska","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","393","27015"
"1080003","2017","Arsenic","New Ulm","Brown","New Ulm","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","13522","27015"
"1080004","2017","Arsenic","Skyview Mobile Villa","Brown","New Ulm","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","90","27015"
